u,v,key,osmid,oneway,lanes,name,highway,length,geometry,maxspeed,access,bridge,width,area,tunnel
3730129190,3978836098,0,89724959,True,2,Avenida Carrera 24,secondary,28.536,"LINESTRING (-74.0750714 4.6288592, -74.0750462 4.6291146)",30,,,,,
3730145129,4004471081,0,147216656,True,2,Avenida Carrera 24,secondary,21.638,"LINESTRING (-74.0752813 4.6264744, -74.0751863 4.6263044)",,,,,,
3730145130,4004471088,0,343709216,True,2,Avenida Carrera 24,secondary,14.828,"LINESTRING (-74.07487690000001 4.6263853, -74.0749448 4.6265002)",,,,,,
3730145131,4004471080,0,89725253,True,2,Diagonal 36 Bis,secondary,7.72,"LINESTRING (-74.0747598 4.6261838, -74.0747945 4.626244)",,,,,,
3757633667,6089467265,0,648658788,False,,Calle 49 Sur,tertiary,22.628,"LINESTRING (-74.17802570000001 4.6304515, -74.17794000000001 4.6302668)",,,,,,
3757633667,6061573415,0,648658788,False,,Calle 49 Sur,tertiary,3.48,"LINESTRING (-74.17802570000001 4.6304515, -74.17803910000001 4.6304798)",,,,,,
3757633714,6089467266,0,648658788,False,,Calle 49 Sur,tertiary,21.631,"LINESTRING (-74.17823610000001 4.6308988, -74.1781549 4.6307219)",,,,,,
3757633714,3757633718,0,648658788,False,,Calle 49 Sur,tertiary,32.741,"LINESTRING (-74.17823610000001 4.6308988, -74.17836 4.6311661)",,,,,,
3757633718,3757633714,0,648658788,False,,Calle 49 Sur,tertiary,32.741,"LINESTRING (-74.17836 4.6311661, -74.17823610000001 4.6308988)",,,,,,
3757633718,3757633749,0,648658788,False,,Calle 49 Sur,tertiary,29.822,"LINESTRING (-74.17836 4.6311661, -74.178473 4.6314095)",,,,,,
3757633741,3757633749,0,648658788,False,,Calle 49 Sur,tertiary,32.279,"LINESTRING (-74.1785952 4.631673, -74.178473 4.6314095)",,,,,,
3757633749,3757633718,0,648658788,False,,Calle 49 Sur,tertiary,29.822,"LINESTRING (-74.178473 4.6314095, -74.17836 4.6311661)",,,,,,
3757633749,3757633741,0,648658788,False,,Calle 49 Sur,tertiary,32.279,"LINESTRING (-74.178473 4.6314095, -74.1785952 4.631673)",,,,,,
3784643494,6089467265,0,648658788,False,,Calle 49 Sur,tertiary,30.737,"LINESTRING (-74.1778175 4.6300188, -74.17794000000001 4.6302668)",,,,,,
3825995927,263369385,0,24313843,True,2,Calle 53B,tertiary,89.263,"LINESTRING (-74.07540640000001 4.6434153, -74.0746157 4.6432626)",30,,,,,
3850950565,5203097039,0,89718075,True,3,Avenida Carrera 7,primary,72.625,"LINESTRING (-74.06594250000001 4.6249413, -74.0657875 4.6255759)",30,,,,,
3868431154,7792246264,0,24324772,True,2,Avenida Calle 32,secondary,16.064,"LINESTRING (-74.0718183 4.6209698, -74.07196279999999 4.6209586)",,,,,,
3889256958,455338136,0,89718075,True,3,Avenida Carrera 7,primary,12.807,"LINESTRING (-74.06880870000001 4.616025, -74.0687705 4.6161337)",30,,,,,
3889256961,6029989451,0,89718075,True,3,Avenida Carrera 7,primary,5.768,"LINESTRING (-74.0696743 4.6121106, -74.0696633 4.6121613)",30,,,,,
3889256970,263777254,0,24324772,True,2,Avenida Calle 32,secondary,12.135,"LINESTRING (-74.0710399 4.620828, -74.0711407 4.6208706)",,,,,,
3889256971,263777264,0,24324772,True,2,Avenida Calle 32,secondary,11.619,"LINESTRING (-74.0723105 4.6208839, -74.07241260000001 4.6208602)",,,,,,
3889256992,3889256961,0,89718075,True,3,Avenida Carrera 7,primary,39.158,"LINESTRING (-74.0697485 4.6117663, -74.0696743 4.6121106)",30,,,,,
3889257203,7792246262,0,24324772,True,2,Avenida Calle 32,secondary,11.694,"LINESTRING (-74.07123609999999 4.6208985, -74.07133880000001 4.6209226)",,,,,,
3889382081,7796007122,0,89725253,True,2,Diagonal 36 Bis,secondary,12.465,"LINESTRING (-74.0741695 4.6255404, -74.0742612 4.6256053)",,,,,,
3896037419,283255669,0,655514737,True,2,Calle 66,secondary,41.243,"LINESTRING (-74.06713000000001 4.6547431, -74.06679920000001 4.6545732)",,,,,,
3896037420,312656093,0,655514737,True,2,Calle 66,secondary,39.371,"LINESTRING (-74.06933720000001 4.6562531, -74.0690477 4.6560479)",,,,,,
3896037421,3236651040,0,675560591,True,2,Calle 66,tertiary,58.199,"LINESTRING (-74.0622869 4.6522639, -74.0618217 4.6520211)",,,,,,
3901979756,3730129182,0,89724961,True,2,Avenida Carrera 24,secondary,50.088,"LINESTRING (-74.0749079 4.6306085, -74.07487159999999 4.6310575)",,,,,,
3901982764,2863283595,0,147216656,True,2,Avenida Carrera 24,secondary,18.842,"LINESTRING (-74.07547700000001 4.6272501, -74.07545260000001 4.6270824)",,,,,,
3901982778,4004512565,0,89725253,True,2,Diagonal 36 Bis,secondary,16.828,"LINESTRING (-74.0743367 4.6256702, -74.07444150000001 4.6257797)",,,,,,
3901982780,4004471064,0,675557369,True,2,Diagonal 36 Bis,secondary,18.988,"LINESTRING (-74.07491659999999 4.6259615, -74.07479859999999 4.6258377)",,,,,,
3901982817,3730129171,0,89748763,True,2,Avenida Carrera 24,secondary,47.28,"LINESTRING (-74.074859 4.6319375, -74.0749052 4.6323602)",,,,,,
3905815371,263544139,0,343709216,True,2,Avenida Carrera 24,secondary,13.649,"LINESTRING (-74.0751648 4.6275193, -74.0751684 4.627642)",,,,,,
3952989800,2422414140,0,89725276,True,2,Avenida Carrera 24,secondary,28.132,"LINESTRING (-74.07518760000001 4.6314047, -74.0751999 4.631152)",,,,,,
