u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,service,access,junction,bridge,tunnel
41678410,41678427,0,807942577,False,Phoenix Metro RV Park,service,10 mph,144.326,"LINESTRING (-112.1089505 33.6938729, -112.1105105 33.6938777)",,,private,,,
41678412,41678414,0,168381723,False,Phoenix Metro RV Park,service,10 mph,144.378,"LINESTRING (-112.1089535 33.6942058, -112.1105139 33.6941859)",,,private,,,
41678412,41678410,0,168381723,False,Phoenix Metro RV Park,service,10 mph,37.018,"LINESTRING (-112.1089535 33.6942058, -112.1089505 33.6938729)",,,private,,,
41678414,41678416,0,168381723,False,Phoenix Metro RV Park,service,10 mph,141.553,"LINESTRING (-112.1105139 33.6941859, -112.1120438 33.6942035)",,,private,,,
41678414,41678412,0,168381723,False,Phoenix Metro RV Park,service,10 mph,144.378,"LINESTRING (-112.1105139 33.6941859, -112.1089535 33.6942058)",,,private,,,
41678416,1796568611,0,168381723,False,Phoenix Metro RV Park,service,10 mph,80.665,"LINESTRING (-112.1120438 33.6942035, -112.1129157 33.6942007)",,,private,,,
41678416,41678414,0,168381723,False,Phoenix Metro RV Park,service,10 mph,141.553,"LINESTRING (-112.1120438 33.6942035, -112.1105139 33.6941859)",,,private,,,
41678417,41678427,0,807942577,False,Phoenix Metro RV Park,service,10 mph,141.105,"LINESTRING (-112.1120357 33.6938751, -112.1105105 33.6938777)",,,private,,,
41678419,41678420,0,168381723,False,Phoenix Metro RV Park,service,10 mph,141.097,"LINESTRING (-112.112028 33.6932425, -112.1105029 33.6932441)",,,private,,,
41678420,41678421,0,168381723,False,Phoenix Metro RV Park,service,10 mph,144.022,"LINESTRING (-112.1105029 33.6932441, -112.1089462 33.6932507)",,,private,,,
41678420,41678419,0,168381723,False,Phoenix Metro RV Park,service,10 mph,141.097,"LINESTRING (-112.1105029 33.6932441, -112.112028 33.6932425)",,,private,,,
41678421,41678398,0,168381723,False,Phoenix Metro RV Park,service,10 mph,32.703,"LINESTRING (-112.1089462 33.6932507, -112.1089485 33.6935448)",,,private,,,
41678421,41678420,0,168381723,False,Phoenix Metro RV Park,service,10 mph,144.022,"LINESTRING (-112.1089462 33.6932507, -112.1105029 33.6932441)",,,private,,,
41678427,41678410,0,807942577,False,Phoenix Metro RV Park,service,10 mph,144.326,"LINESTRING (-112.1105105 33.6938777, -112.1089505 33.6938729)",,,private,,,
41678427,41678417,0,807942577,False,Phoenix Metro RV Park,service,10 mph,141.105,"LINESTRING (-112.1105105 33.6938777, -112.1120357 33.6938751)",,,private,,,
41682868,7652653444,0,729148595,False,A&A Way,unclassified,15 mph,301.742,"LINESTRING (-112.1407602 33.4993592, -112.1384319 33.4974634)",2,,,,,
41734498,4922442904,0,5617302,False,Lugo Street (North 13th Place),residential,10 mph,8.819,"LINESTRING (-112.0537147 33.5550151, -112.0537164 33.5550944)",2,,,,,
41734499,4922442904,0,5617302,False,Lugo Street (North 13th Place),residential,10 mph,66.229,"LINESTRING (-112.0537207 33.55569, -112.0537164 33.5550944)",2,,,,,
41741443,2265617557,0,420760923,False,East Highland Avenue,service,5 mph,14.731,"LINESTRING (-112.0650389 33.5056154, -112.0651969 33.5056015)",,,,,,
41741443,2300442640,0,537754679,False,East Highland Avenue,tertiary,20 mph,4.917,"LINESTRING (-112.0650389 33.5056154, -112.0649859 33.5056168)",3,,,,,
41836394,2265617558,0,538683156,False,East Highland Avenue,tertiary,20 mph,12.285,"LINESTRING (-112.0475752 33.5056097, -112.0477077 33.5056098)",4,,,,,
41844614,5967437644,0,729928256,True,,secondary,15 mph,0.304,"LINESTRING (-112.073762 33.574941, -112.0737599 33.5749431)",1,,,roundabout,,
41879010,6966638026,0,5672957,False,North 21st Avenue,service,15 mph,13.268,"LINESTRING (-112.0998935 33.5045342, -112.1000366 33.5045348)",,alley,,,,
41888708,2931243528,0,289572083,False,North 8th Street,service,20 mph,35.383,"LINESTRING (-112.0636956 33.5273651, -112.0636971 33.5270469)",,,,,,
41913447,7134744189,0,809022544,False,Hospital Drive,unclassified,15 mph,7.472,"LINESTRING (-112.0238051 33.4572636, -112.0238052 33.4573308)",2,,,,,
41913447,1500305235,0,809022544,False,Hospital Drive,unclassified,15 mph,49.448,"LINESTRING (-112.0238051 33.4572636, -112.0238055 33.4568189)",2,,,,,
41931740,2924103052,0,288860254,True,North 48th Street,tertiary,20 mph,26.795,"LINESTRING (-111.9781105 33.4728607, -111.9781413 33.4726211)",1,,,,,
42029173,1671405099,0,34769259,True,North Central Avenue,secondary,15 mph,34.761,"LINESTRING (-112.0738089 33.5745363, -112.0737835 33.5748482)",1,,,,,
42252206,7185807246,0,769803793,True,,service,5 mph,23.308,"LINESTRING (-111.9923122 33.6006233, -111.9920715 33.6005621)",1,parking_aisle,,,,
42278876,2683008768,0,262626013,True,,service,15 mph,11.655,"LINESTRING (-112.07261 33.6351254, -112.0726669 33.6352189)",2,parking_aisle,,,,
42309967,5024323381,0,5604801,True,South Arizona Grand Parkway,tertiary,15 mph,7.882,"LINESTRING (-111.9723133 33.3763985, -111.9722645 33.3763405)",1,,,roundabout,,
42309971,41640208,0,5604801,True,South Arizona Grand Parkway,tertiary,15 mph,6.94,"LINESTRING (-111.9719195 33.3763196, -111.9718671 33.3763641)",1,,,roundabout,,
42311724,1527831448,0,537754677,False,East Highland Avenue,tertiary,20 mph,50.866,"LINESTRING (-112.0606527 33.5056109, -112.0612013 33.5056079)",2,,,,,
42311724,4589966158,0,538683159,False,East Highland Avenue,tertiary,20 mph,90.987,"LINESTRING (-112.0606527 33.5056109, -112.0596714 33.505605)",2,,,,,
42330736,1403399506,0,394256613,False,East Squaw Peak Drive,residential,15 mph,26.117,"LINESTRING (-112.0280944 33.5367535, -112.0278168 33.5367938)",2,,,,,
42393310,1403399527,0,394256613,False,East Squaw Peak Drive,residential,15 mph,44.354,"LINESTRING (-112.027329 33.5369032, -112.0268808 33.537043)",2,,,,,
42393310,1403399459,0,394256613,False,East Squaw Peak Drive,residential,15 mph,20.576,"LINESTRING (-112.027329 33.5369032, -112.027541 33.5368483)",2,,,,,
42393313,3785313833,0,394256613,False,East Squaw Peak Drive,residential,15 mph,37.187,"LINESTRING (-112.0264958 33.5371762, -112.0261409 33.5373322)",2,,,,,
