u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,width,length,geometry,bridge,service,tunnel,access
7735662682,7735716692,0,828685741,False,,,,footway,,4,5.903,"LINESTRING (-71.0847325 42.3532695, -71.0847952 42.3532436)",,,,
7735662683,7735716692,0,828685741,False,,,,footway,,4,8.056,"LINESTRING (-71.0848743 42.3532008, -71.0847952 42.3532436)",,,,
7735662683,383976734,0,828685741,False,,,,footway,,4,8.583,"LINESTRING (-71.0848743 42.3532008, -71.08495619999999 42.3531529)",,,,
7735716686,7735716705,0,825994975,False,,,,footway,,4,4.445,"LINESTRING (-71.0850415 42.3531534, -71.0850951 42.3531588)",,,,
7735716686,2498743765,0,828685739,False,,,,footway,,2,4.348,"LINESTRING (-71.0850415 42.3531534, -71.0849973 42.3531319)",,,,
7735716686,383976734,0,150052469,False,2,,Dr. Paul Dudley White Path,cycleway,,4,7.01,"LINESTRING (-71.0850415 42.3531534, -71.08495619999999 42.3531529)",,,,
7735716686,2498743772,0,150052469,False,2,,Dr. Paul Dudley White Path,cycleway,,4,4.362,"LINESTRING (-71.0850415 42.3531534, -71.0850944 42.3531502)",,,,
7735716687,2498743765,0,828685739,False,,,,footway,,2,3.979,"LINESTRING (-71.08496150000001 42.3531078, -71.0849973 42.3531319)",,,,
7735716687,2498743761,0,828685739,False,,,,footway,,2,8.032,"LINESTRING (-71.08496150000001 42.3531078, -71.0849309 42.3530392)",,,,
7735716692,7735662682,0,828685741,False,,,,footway,,4,5.903,"LINESTRING (-71.0847952 42.3532436, -71.0847325 42.3532695)",,,,
7735716692,7735662683,0,828685741,False,,,,footway,,4,8.056,"LINESTRING (-71.0847952 42.3532436, -71.0848743 42.3532008)",,,,
7735716705,7735716686,0,825994975,False,,,,footway,,4,4.445,"LINESTRING (-71.0850951 42.3531588, -71.0850415 42.3531534)",,,,
7735716705,7718942977,0,825994975,False,,,,footway,,4,5.547,"LINESTRING (-71.0850951 42.3531588, -71.08516229999999 42.3531541)",,,,
7735716738,7712030824,0,170690237,False,,,,footway,,4,2.233,"LINESTRING (-71.073257 42.3593522, -71.0732685 42.3593704)",,,,
7735716738,1818478002,0,170690237,False,,,,footway,,4,1.692,"LINESTRING (-71.073257 42.3593522, -71.07324319999999 42.3593409)",,,,
7735716751,1809524236,0,834362476,False,,,,footway,,4,4.852,"LINESTRING (-71.07299020000001 42.3610319, -71.07297370000001 42.3610738)",,,,
7735716751,699590325,0,834362476,False,,,,footway,,4,5.127,"LINESTRING (-71.07299020000001 42.3610319, -71.0729985 42.3609862)",,,,
7735716969,4677099233,0,833402084,False,2,,Dr. Paul Dudley White Path,footway,,4,4.049,"LINESTRING (-71.0703858 42.3639377, -71.0703678 42.3639716)",,,,
7735716969,1629873755,0,833402084,False,2,,Dr. Paul Dudley White Path,footway,,4,4.639,"LINESTRING (-71.0703858 42.3639377, -71.0704085 42.3638995)",,,,
7735716969,7735716964,0,815116161,False,2,,,service,5 mph,5.8,11.217,"LINESTRING (-71.0703858 42.3639377, -71.0702589 42.3639005)",,parking_aisle,,
7735716969,7737452117,0,815116161,False,2,,,service,5 mph,5.8,2.619,"LINESTRING (-71.0703858 42.3639377, -71.0704152 42.3639468)",,parking_aisle,,
7745030864,1769091063,0,242536372,False,,,,footway,,4,4.713,"LINESTRING (-71.07334710000001 42.3574951, -71.0733939 42.3575196)",,,,
7745030864,7788757206,0,242536372,False,,,,footway,,4,3.334,"LINESTRING (-71.07334710000001 42.3574951, -71.073318 42.3574742)",,,,
7745030865,7788757206,0,242536372,False,,,,footway,,4,2.634,"LINESTRING (-71.07329850000001 42.3574554, -71.073318 42.3574742)",,,,
7745030865,1769091057,0,242536372,False,,,,footway,,4,4.172,"LINESTRING (-71.07329850000001 42.3574554, -71.0732746 42.3574223)",,,,
7745030866,7745030867,0,165358925,False,,,,footway,,4,5.685,"LINESTRING (-71.07313670000001 42.3575461, -71.07313910000001 42.3575972)",,,,
7745030866,1769091061,0,165358925,False,,,,footway,,4,8.73,"LINESTRING (-71.07313670000001 42.3575461, -71.073104 42.3574714)",,,,
7745030867,7745030868,0,165358925,False,,,,footway,,4,6.393,"LINESTRING (-71.07313910000001 42.3575972, -71.0731262 42.3576539)",,,,
7745030867,7745030866,0,165358925,False,,,,footway,,4,5.685,"LINESTRING (-71.07313910000001 42.3575972, -71.07313670000001 42.3575461)",,,,
7745030868,7708955765,0,165358925,False,,,,footway,,4,8.873,"LINESTRING (-71.0731262 42.3576539, -71.0730994 42.3577312)",,,,
7745030868,7745030867,0,165358925,False,,,,footway,,4,6.393,"LINESTRING (-71.0731262 42.3576539, -71.07313910000001 42.3575972)",,,,
7745572463,1769091052,0,828301024,False,,,,footway,,4,5.251,"LINESTRING (-71.07412789999999 42.3573174, -71.0741065 42.3573619)",,,,
7745572463,1629873638,0,828301024,False,,,,footway,,4,8.244,"LINESTRING (-71.07412789999999 42.3573174, -71.0741632 42.357248)",,,,
7745572468,1769091070,0,828301024,False,,,,footway,,4,3.119,"LINESTRING (-71.0739167 42.3575626, -71.0738819 42.3575738)",,,,
7745572468,1769091065,0,828301024,False,,,,footway,,4,3.553,"LINESTRING (-71.0739167 42.3575626, -71.0739542 42.3575467)",,,,
7745698466,7745736257,0,100720750,True,3,MA 28,Charles River Dam Road,primary,30 mph,30.5,15.813,"LINESTRING (-71.0687508 42.3669533, -71.0685914 42.3668736)",,,,
7745736188,7893429294,0,508567327,True,2,MA 28,Charles River Dam Road,primary,30 mph,30.5,0.946,"LINESTRING (-71.0694159 42.3672787, -71.06940640000001 42.3672739)",,,,
7745736223,1164496783,0,100735993,False,,,Dr. Paul Dudley White Path,cycleway,,3,9.982,"LINESTRING (-71.0696111 42.3672995, -71.06951119999999 42.3672484)",,,,
