u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,junction,access,bridge,ref,width,tunnel,service
82629675,256034154,0,449120301,False,Avenida Carabobo,secondary,30,116.708,"LINESTRING (-58.451425 -34.6374844, -58.4519204 -34.6365172)",5,,,,,,,
82638851,199456284,0,206002928,True,Tres Arroyos,residential,30,49.979,"LINESTRING (-58.4540117 -34.6056599, -58.4544647 -34.6059109)",,,,,,,,
82648801,199821566,0,534562605,True,Bahía Blanca,residential,20,138.719,"LINESTRING (-58.4903844 -34.6201558, -58.4914771 -34.6192911)",1,,,,,,,
82648806,4244877527,0,534352220,True,Cervantes,residential,20,5.346,"LINESTRING (-58.501737 -34.6275236, -58.5016944 -34.6275565)",2,,,,,,,
82648948,96131172,0,534659620,True,Terrada,residential,20,93.265,"LINESTRING (-58.4957853 -34.5913833, -58.4963945 -34.590711)",,,,,,,,
82652382,6530844754,0,695539230,True,Jorge Newbery,residential,30,85.786,"LINESTRING (-58.4480883 -34.5810285, -58.4476248 -34.580358)",,,,,,,,
82653741,4344325024,0,170477048,True,Serrano,residential,30,95.859,"LINESTRING (-58.4410677 -34.5954234, -58.4402054 -34.5949342)",2,,,,,,,
82653743,6765175704,0,47413212,True,Julián Álvarez,residential,30,103.432,"LINESTRING (-58.4362123 -34.6007075, -58.437098 -34.6012852)",,,,,,,,
82661912,3343147515,0,10800141,True,Martínez Rosas,residential,30,25.715,"LINESTRING (-58.4527994 -34.5959783, -58.4526038 -34.5961443)",2,,,,,,,
82661913,89132666,0,534852698,True,Martínez Rosas,residential,20,109.248,"LINESTRING (-58.4520608 -34.5966319, -58.4512381 -34.5973437)",2,,,,,,,
82662997,89131814,0,121176053,True,Ignacio de Loyola,residential,30,41.994,"LINESTRING (-58.445406 -34.5866477, -58.4450788 -34.5869124)",2,,,,,,,
82662998,3084057112,0,10810862,True,Avenida Coronel Niceto Vega,secondary,20,73.939,"LINESTRING (-58.4444143 -34.5831712, -58.4438003 -34.5836032)",4,,,,,,,
82664801,82664802,0,63514291,False,Jorge Newbery,residential,20,108.292,"LINESTRING (-58.4447346 -34.5761191, -58.4439789 -34.5753699)",,,,,,,,
82664802,82664801,0,63514291,False,Jorge Newbery,residential,20,108.292,"LINESTRING (-58.4439789 -34.5753699, -58.4447346 -34.5761191)",,,,,,,,
82664802,3207829461,0,75104887,False,Concejal Pedro Bustos,residential,30,27.048,"LINESTRING (-58.4439789 -34.5753699, -58.4437983 -34.5751774)",2,,,,,,,
82665029,82699728,0,176605005,True,Virrey Loreto,residential,30,72.529,"LINESTRING (-58.4567151 -34.5760787, -58.4563001 -34.5755231)",,,,,,,,
82665030,82665029,0,176605004,True,General Enrique Martínez,residential,30,107.996,"LINESTRING (-58.4555859 -34.5763595, -58.4567151 -34.5760787)",,,,,,,,
82665031,4477863888,0,101815090,True,General Enrique Martínez,residential,30,31.037,"LINESTRING (-58.4547857 -34.5766225, -58.4550942 -34.5765068)",,,,,,,,
82665032,82698104,0,101815090,True,General Enrique Martínez,residential,30,180.748,"LINESTRING (-58.452014 -34.5779668, -58.4537072 -34.5771309)",,,,,,,,
82665033,82665032,0,101815090,True,General Enrique Martínez,residential,30,97.802,"LINESTRING (-58.4510733 -34.5783836, -58.452014 -34.5779668)",,,,,,,,
82665034,89326340,0,101885071,True,General Enrique Martínez,residential,30,104.062,"LINESTRING (-58.4474661 -34.5801284, -58.4484428 -34.5796497)",,,,,,,,
82665035,82665034,0,101885071,True,General Enrique Martínez,residential,30,111.025,"LINESTRING (-58.44642 -34.5806335, -58.4474661 -34.5801284)",,,,,,,,
