u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,width,tunnel,bridge,access,junction,ref,service
89268227,4577862258,0,"[69340131, 69340137, 69606704, 483144378, 86113918]",True,Superí,residential,"['20', '30']",841.554,"LINESTRING (-58.4689569 -34.5650488, -58.4694157 -34.5645249, -58.4694515 -34.5644835, -58.4695932 -34.56432, -58.4704886 -34.5633001, -58.4710955 -34.5626072, -58.4711255 -34.5625729, -58.471209 -34.5624776, -58.4719247 -34.5616632, -58.4720285 -34.561545, -58.4725368 -34.5609664, -58.4725795 -34.5609178, -58.4726916 -34.5607902, -58.4735341 -34.5598056, -58.4741315 -34.5591257, -58.4741766 -34.5590736, -58.4743527 -34.5589252)",,,,,,,,
89268227,89578924,0,"[26608460, 648234277]",True,"['Blanco Encalada', 'Hiroshima']",residential,30,203.668,"LINESTRING (-58.4689569 -34.5650488, -58.4703924 -34.565973, -58.4707943 -34.5659835)",,,,,,,,
89268230,218598555,0,681037002,True,Doctor Juan Ángel Golfarini,residential,30,128.842,"LINESTRING (-58.4539323 -34.5561199, -58.4530957 -34.5570515)",1,,,,,,,
89268230,180279224,0,"[186082866, 680085212]",True,Blanco Encalada,residential,30,46.549,"LINESTRING (-58.4539323 -34.5561199, -58.4537228 -34.5559944, -58.453639 -34.5559442, -58.4535212 -34.5558737)",2,,,,,,,
89289670,3048002036,0,22561777,True,Avenida Monroe,secondary,60,24.838,"LINESTRING (-58.4422261 -34.5477827, -58.4424304 -34.5479296)",,,,,,,,
89289670,1131881016,0,176605355,False,,cycleway,,21.909,"LINESTRING (-58.4422261 -34.5477827, -58.4420431 -34.5476558)",,,,,,,,
89318596,89324181,0,"[374224416, 455630595, 455630596, 434303077, 63514282, 63514262]",True,Teodoro García,residential,30,601.263,"LINESTRING (-58.4437488 -34.5673858, -58.4444308 -34.5681556, -58.4453187 -34.5691577, -58.4455307 -34.569397, -58.4456281 -34.5695069, -58.4456706 -34.5695595, -58.4457126 -34.5696117, -58.4457366 -34.5696413, -58.4467172 -34.5711092, -58.4472282 -34.5719553)",2,,,,,,,
89324181,2532986406,0,635398988,True,Teodoro García,residential,30,60.729,"LINESTRING (-58.4472282 -34.5719553, -58.4475475 -34.572434)",,,,,,,,
89329811,96046444,0,"[625696266, 261661747, 470809228, 261661742]",True,Ignacio de Loyola,residential,30,533.126,"LINESTRING (-58.4413801 -34.5897192, -58.440663 -34.5904694, -58.4397021 -34.591475, -58.4396499 -34.5915298, -58.4395985 -34.5915837, -58.4390886 -34.5921405, -58.4385573 -34.5926981, -58.4377976 -34.5934992)","['1', '2']",,,,,,,
89329811,89250032,0,"[75104891, 10431398, 751415997, 751415998]",True,"['Humboldt', 'Avenida Coronel Niceto Vega']","['residential', 'secondary']","['40', '60']",678.5200000000001,"LINESTRING (-58.4413801 -34.5897192, -58.4403723 -34.588882, -58.4393903 -34.5880901, -58.4392697 -34.5880006, -58.4384986 -34.5872674, -58.4383007 -34.5874078, -58.4381708 -34.5872958, -58.4371538 -34.5864055, -58.4364033 -34.5857545, -58.4363624 -34.5857171, -58.4363123 -34.585675, -58.4362364 -34.5856111)","['4', '2']",,,,,,,
