u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,service,access
1232850696,7126645965,0,762693584,False,,,service,5,7.733,"LINESTRING (-82.98499200000001 42.3359126, -82.9850799 42.3358878)",,no
2194538155,2194538157,0,69256656,False,,,service,5 mph,4.315,"LINESTRING (-83.0623804 42.3558227, -83.06243240000001 42.3558281)",parking_aisle,
2194538155,2194538159,0,69256656,False,,,service,5 mph,4.516,"LINESTRING (-83.0623804 42.3558227, -83.062327 42.3558323)",parking_aisle,
2194538157,2194538163,0,69256656,False,,,service,5 mph,5.021,"LINESTRING (-83.06243240000001 42.3558281, -83.06248770000001 42.3558473)",parking_aisle,
2194538157,2194538155,0,69256656,False,,,service,5 mph,4.315,"LINESTRING (-83.06243240000001 42.3558281, -83.0623804 42.3558227)",parking_aisle,
2194538159,2194538155,0,69256656,False,,,service,5 mph,4.516,"LINESTRING (-83.062327 42.3558323, -83.0623804 42.3558227)",parking_aisle,
2194538159,2194538230,0,69256656,False,,,service,5 mph,30.866,"LINESTRING (-83.062327 42.3558323, -83.0620028 42.3559725)",parking_aisle,
2194538163,2194538179,0,69256656,False,,,service,5 mph,4.756,"LINESTRING (-83.06248770000001 42.3558473, -83.062523 42.3558812)",parking_aisle,
2194538163,2194538157,0,69256656,False,,,service,5 mph,5.021,"LINESTRING (-83.06248770000001 42.3558473, -83.06243240000001 42.3558281)",parking_aisle,
2194538179,4677155623,0,69256656,False,,,service,5 mph,30.733,"LINESTRING (-83.062523 42.3558812, -83.0627049 42.3561227)",parking_aisle,
2194538179,2194538163,0,69256656,False,,,service,5 mph,4.756,"LINESTRING (-83.062523 42.3558812, -83.06248770000001 42.3558473)",parking_aisle,
2194538230,2194538159,0,69256656,False,,,service,5 mph,30.866,"LINESTRING (-83.0620028 42.3559725, -83.062327 42.3558323)",parking_aisle,
2194538230,2194538290,0,69256656,False,,,service,5 mph,18.237,"LINESTRING (-83.0620028 42.3559725, -83.0618109 42.3560549)",parking_aisle,
2194538230,2194538372,0,209224494,False,,,service,5 mph,31.279,"LINESTRING (-83.0620028 42.3559725, -83.0621948 42.3562154)",parking_aisle,
2194538290,2194538230,0,69256656,False,,,service,5 mph,18.237,"LINESTRING (-83.0618109 42.3560549, -83.0620028 42.3559725)",parking_aisle,
2194538290,2194538398,0,69256656,False,,,service,5 mph,35.973,"LINESTRING (-83.0618109 42.3560549, -83.0620316 42.3563343)",parking_aisle,
2194538372,2194538378,0,209224494,False,,,service,5 mph,2.267,"LINESTRING (-83.0621948 42.3562154, -83.0622008 42.3562353)",parking_aisle,
2194538372,2194538230,0,209224494,False,,,service,5 mph,31.279,"LINESTRING (-83.0621948 42.3562154, -83.0620028 42.3559725)",parking_aisle,
2194538378,2194538381,0,209224494,False,,,service,5 mph,2.069,"LINESTRING (-83.0622008 42.3562353, -83.0622 42.3562539)",parking_aisle,
2194538378,2194538372,0,209224494,False,,,service,5 mph,2.267,"LINESTRING (-83.0622008 42.3562353, -83.0621948 42.3562154)",parking_aisle,
2194538381,2194538384,0,209224494,False,,,service,5 mph,2.232,"LINESTRING (-83.0622 42.3562539, -83.0621829 42.3562695)",parking_aisle,
2194538381,2194538378,0,209224494,False,,,service,5 mph,2.069,"LINESTRING (-83.0622 42.3562539, -83.0622008 42.3562353)",parking_aisle,
2194538384,2194538387,0,209224494,False,,,service,5 mph,3.159,"LINESTRING (-83.0621829 42.3562695, -83.06215 42.3562842)",parking_aisle,
2194538384,2194538381,0,209224494,False,,,service,5 mph,2.232,"LINESTRING (-83.0621829 42.3562695, -83.0622 42.3562539)",parking_aisle,
2194538387,2194538398,0,69256656,False,,,service,5 mph,11.211,"LINESTRING (-83.06215 42.3562842, -83.0620316 42.3563343)",parking_aisle,
2194538387,4677155622,0,209224494,False,,,service,5 mph,7.429,"LINESTRING (-83.06215 42.3562842, -83.0621951 42.3563421)",parking_aisle,
2194538387,2194538384,0,209224494,False,,,service,5 mph,3.159,"LINESTRING (-83.06215 42.3562842, -83.0621829 42.3562695)",parking_aisle,
2194538398,2194538290,0,69256656,False,,,service,5 mph,35.973,"LINESTRING (-83.0620316 42.3563343, -83.0618109 42.3560549)",parking_aisle,
