u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,junction,access,bridge,width,ref,tunnel,service,area
5702693113,7084615089,0,54147855,True,Boulevard Brune,cycleway,,2.751,"LINESTRING (2.3229685 48.8236784, 2.3229949 48.8236608)",,,,,,,,,
5702693114,7084615088,0,599406781,True,,cycleway,,3.314,"LINESTRING (2.3230189 48.8237085, 2.3230047 48.8236802)",,,,,,,,,
5702693115,5702693114,0,599406781,True,,cycleway,,6.23,"LINESTRING (2.3230456 48.8237617, 2.3230189 48.8237085)",,,,,,,,,
5702693116,5702693115,0,599406781,True,,cycleway,,3.22,"LINESTRING (2.3230594 48.8237892, 2.3230456 48.8237617)",,,,,,,,,
5702693118,7663310580,0,599406781,True,,cycleway,,2.277,"LINESTRING (2.3231074 48.8238814, 2.3230962 48.8238623)",,,,,,,,,
5702693118,5702693428,0,635794966,True,Boulevard Brune,cycleway,,31.476,"LINESTRING (2.3231074 48.8238814, 2.3227011 48.823974)",,,,,,,,,
5702693428,1775401775,0,635794966,True,Boulevard Brune,cycleway,,89.178,"LINESTRING (2.3227011 48.823974, 2.3215509 48.8242381)",,,,,,,,,
5702693429,910877303,0,635794966,True,Boulevard Brune,cycleway,,2.875,"LINESTRING (2.3232679 48.8238649, 2.3232305 48.8238728)",,,,,,,,,
5702693430,5702693429,0,77384610,True,Boulevard Brune,cycleway,,3.714,"LINESTRING (2.3233157 48.8238537, 2.3232679 48.8238649)",,,,,,,,,
5710424923,470177,0,240774661,True,Quai Branly,cycleway,,13.877,"LINESTRING (2.2910088 48.8573512, 2.2910099 48.857476)",,,,,,,,,
5710424924,5710424923,0,240774661,True,Quai Branly,cycleway,,18.439,"LINESTRING (2.2908308 48.8572338, 2.2910088 48.8573512)",,,,,,,,,
5710424927,661233,0,44781857,True,Quai Branly,cycleway,,16.945,"LINESTRING (2.2894565 48.8554222, 2.289499 48.8552724)",,,,,,,,,
5710424927,6531669482,0,700796112,False,Quai Branly,cycleway,,51.729,"LINESTRING (2.2894565 48.8554222, 2.2891676 48.8549976)",,,,,,,,,
5710424927,6787539378,0,723702727,False,Quai Branly,cycleway,,58.895,"LINESTRING (2.2894565 48.8554222, 2.2897026 48.8559265)",,,,,,,,,
5710424928,7070393982,0,44781857,True,Quai Branly,cycleway,,8.942,"LINESTRING (2.2894686 48.8555224, 2.2894371 48.8554447)",,,,,,,,,
5710424929,5710424928,0,44781857,True,Quai Branly,cycleway,,4.393,"LINESTRING (2.2894827 48.8555608, 2.2894686 48.8555224)",,,,,,,,,
