u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,bridge,service,width,access,tunnel,ref,junction,area
299615623,1337339473,0,25694082,False,2,,path,,10.634,"LINESTRING (12.4775328 41.9185817, 12.4774325 41.9185219)",,,,,,,,
299615623,745410866,0,25694082,False,2,,path,,11.886,"LINESTRING (12.4775328 41.9185817, 12.4776503 41.9186432)",,,,,,,,
299615624,449015593,0,25694082,False,2,,path,,10.49,"LINESTRING (12.4773293 41.9185269, 12.4772031 41.9185179)",,,,,,,,
299615624,1337339473,0,25694082,False,2,,path,,8.557,"LINESTRING (12.4773293 41.9185269, 12.4774325 41.9185219)",,,,,,,,
300083772,1620892067,0,149060843,False,,,path,,11.654,"LINESTRING (12.6109163 41.8446617, 12.6109301 41.8445574)",,,,,,,,
300153062,1150721217,0,99475420,False,2,,path,,98.995,"LINESTRING (12.4924329 41.9785824, 12.4919234 41.9793881)",,,,,,,,
300613218,300613222,0,27384477,False,,,footway,,12.524,"LINESTRING (12.5617703 41.9049866, 12.5619009 41.9050435)",,,,,,,,
300613218,300613221,0,27384477,False,,,footway,,11.113,"LINESTRING (12.5617703 41.9049866, 12.5616473 41.9049465)",,,,,,,,
300613220,4401470780,0,27384477,False,,,footway,,6.827,"LINESTRING (12.5598831 41.9044582, 12.5599651 41.9044649)",,,,,,,,
300613221,300613218,0,27384477,False,,,footway,,11.113,"LINESTRING (12.5616473 41.9049465, 12.5617703 41.9049866)",,,,,,,,
300613221,1914645697,0,27384477,False,,,footway,,29.613,"LINESTRING (12.5616473 41.9049465, 12.5613119 41.9048537)",,,,,,,,
300613222,4915271890,0,27384477,False,,,footway,,2.178,"LINESTRING (12.5619009 41.9050435, 12.5619242 41.9050526)",,,,,,,,
300613222,300613218,0,27384477,False,,,footway,,12.524,"LINESTRING (12.5619009 41.9050435, 12.5617703 41.9049866)",,,,,,,,
300613223,4915271883,0,27384477,False,,,footway,,12.743,"LINESTRING (12.5624092 41.9054015, 12.5625453 41.9054551)",,,,,,,,
300613223,4915271886,0,27384477,False,,,footway,,19.435,"LINESTRING (12.5624092 41.9054015, 12.5622801 41.9052555)",,,,,,,,
300613242,4915271892,0,181021874,False,,,footway,,8.94,"LINESTRING (12.5617577 41.904929, 12.5616498 41.9049251)",,,,,,,,
300613242,4915271891,0,181021874,False,,,footway,,9.92,"LINESTRING (12.5617577 41.904929, 12.5618604 41.904975)",,,,,,,,
300613251,4915271870,0,27384481,False,,,footway,,14.043,"LINESTRING (12.5630317 41.9056434, 12.5632012 41.9056494)",,,,,,,,
300613251,4915271884,0,27384481,False,,,footway,,11.698,"LINESTRING (12.5630317 41.9056434, 12.5628953 41.9056158)",,,,,,,,
300613252,300613253,0,27384481,False,,,footway,,20.327,"LINESTRING (12.5632963 41.9056528, 12.5635329 41.9057019)",,,,,,,,
300613252,4915271870,0,27384481,False,,,footway,,7.879,"LINESTRING (12.5632963 41.9056528, 12.5632012 41.9056494)",,,,,,,,
300613253,4915271869,0,27384481,False,,,footway,,10.795,"LINESTRING (12.5635329 41.9057019, 12.5636377 41.9057597)",,,,,,,,
300613253,300613252,0,27384481,False,,,footway,,20.327,"LINESTRING (12.5635329 41.9057019, 12.5632963 41.9056528)",,,,,,,,
300613254,4915271868,0,27384481,False,,,footway,,6.376,"LINESTRING (12.5643505 41.9058791, 12.5643575 41.9059362)",,,,,,,,
300613254,4915271866,0,27384481,False,,,footway,,46.379,"LINESTRING (12.5643505 41.9058791, 12.5637996 41.9058025)",,,,,,,,
300613255,4915271904,0,27384481,False,,,footway,,22.472,"LINESTRING (12.5646691 41.9060535, 12.5648482 41.9062054)",,,,,,,,
300613255,4915271867,0,27384481,False,,,footway,,13.839,"LINESTRING (12.5646691 41.9060535, 12.5645252 41.9059901)",,,,,,,,
300613260,4401470783,0,181021874,False,,,footway,,11.267,"LINESTRING (12.5654507 41.9062052, 12.5655035 41.9061118)",,,,,,,,
301492413,915061749,0,745586899,False,,,path,,18.985,"LINESTRING (12.5829024 41.851659, 12.5831316 41.8516572)",,,,,,,,
301492413,302146298,0,745586899,False,,,path,,15.228,"LINESTRING (12.5829024 41.851659, 12.582719 41.8516494)",,,,,,,,
