u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,service,ref,bridge,access,width,tunnel,junction,area
5569843650,394259959,0,576059629,,,service,10,False,48.879,"LINESTRING (12.528061 41.9003824, 12.5282226 41.8999596)",alley,,,,,,,
5569843651,5961603720,0,34362871,,,service,10,False,3.719,"LINESTRING (12.5281837 41.9004733, 12.528191 41.9005063)",alley,,,,,,,
5569843651,394260005,0,34362871,,,service,10,False,3.728,"LINESTRING (12.5281837 41.9004733, 12.5281656 41.9004426)",alley,,,,,,,
5569843652,5961603709,0,34362871,,,service,10,False,3.721,"LINESTRING (12.5281871 41.9005397, 12.5281723 41.9005713)",alley,,,,,,,
5569843652,5961603720,0,34362871,,,service,10,False,3.728,"LINESTRING (12.5281871 41.9005397, 12.528191 41.9005063)",alley,,,,,,,
5569843653,5585348637,0,34362865,,,service,10,False,10.16,"LINESTRING (12.525287 41.8999502, 12.525169 41.899925)",alley,,,,,,,
5569843653,2150891903,0,34362865,,,service,10,False,3.114,"LINESTRING (12.525287 41.8999502, 12.5253235 41.899957)",alley,,,,,,,
5569843653,2150891904,0,51747877,,,service,10,False,6.037,"LINESTRING (12.525287 41.8999502, 12.5252809 41.9000043)",alley,,,,,,,
5569843654,2150891906,0,51747877,,,service,10,False,4.788,"LINESTRING (12.5253374 41.9000703, 12.5252984 41.9000385)",alley,,,,,,,
5569843654,2150891907,0,51747877,,,service,10,False,3.261,"LINESTRING (12.5253374 41.9000703, 12.5253737 41.9000817)",alley,,,,,,,
5569843655,2150891917,0,51747877,,,service,10,False,2.063,"LINESTRING (12.5259222 41.9002243, 12.5259411 41.9002122)",alley,,,,,,,
5569843655,2150891918,0,51747877,,,service,10,False,2.732,"LINESTRING (12.5259222 41.9002243, 12.5258898 41.900229)",alley,,,,,,,
5569843656,5551245030,0,34362836,,,service,10,True,3.334,"LINESTRING (12.5232201 41.9019606, 12.5231923 41.9019389)",alley,,,,,,,
5569843658,2150891973,0,34362874,,,service,10,True,2.707,"LINESTRING (12.5224591 41.9026583, 12.5224264 41.902659)",alley,,,,,,,
5569843659,6512135572,0,34362874,,,service,10,True,1.073,"LINESTRING (12.5225144 41.9026312, 12.5225094 41.9026401)",alley,,,,,,,
5569843660,6512135575,0,34362874,,,service,10,True,1.615,"LINESTRING (12.5224788 41.902565, 12.5224949 41.9025732)",alley,,,,,,,
5569843662,5569843665,0,582365227,,,service,10,False,24.664,"LINESTRING (12.5238848 41.9027729, 12.5237824 41.9029812)",alley,,,,,,,
5569843662,2150891996,0,582499054,,,service,10,False,25.004,"LINESTRING (12.5238848 41.9027729, 12.5241762 41.9028323)",alley,,,,,,,
5569843662,5569843663,0,582499054,,,service,10,False,15.78,"LINESTRING (12.5238848 41.9027729, 12.5237017 41.9027333)",alley,,,,,,,
5569843663,5589306650,0,582365228,,,service,10,False,15.37,"LINESTRING (12.5237017 41.9027333, 12.5237422 41.9025984)",alley,,,,,,,
5569843663,5569843666,0,582365228,,,service,10,False,24.453,"LINESTRING (12.5237017 41.9027333, 12.5236396 41.9029483)",alley,,,,,,,
5569843663,5569843662,0,582499054,,,service,10,False,15.78,"LINESTRING (12.5237017 41.9027333, 12.5238848 41.9027729)",alley,,,,,,,
