u,v,key,osmid,bridge,oneway,name,highway,length,geometry,lanes,maxspeed,access,width
265679611,265667604,0,46889269,,True,Arturo Prat,tertiary,127.133,"LINESTRING (-70.6468699 -33.4684555, -70.6468242 -33.4695982)",,,,
265688199,2968334805,0,443083832,,True,Teatinos,secondary,59.306,"LINESTRING (-70.6547843 -33.4416944, -70.6546396 -33.4422139)",2,,,
265688236,253281766,0,447781291,,True,Avenida Brasil,secondary,103.088,"LINESTRING (-70.6648282 -33.4442749, -70.66495740000001 -33.4433541)",2,,,
265688241,253281923,0,447766844,,True,General Bulnes,tertiary,70.982,"LINESTRING (-70.66960419999999 -33.4447656, -70.6696974 -33.444132)",2,,,
285738744,6214791293,0,277736617,,True,Esmeralda,unclassified,68.953,"LINESTRING (-70.6494148 -33.434605, -70.6501576 -33.4345881)",,,,
301699101,265667610,0,518091967,,True,Arturo Prat,tertiary,129.252,"LINESTRING (-70.6466029 -33.4744009, -70.6465484 -33.4755624)",,,,
307081229,253281643,0,508533723,,True,Avenida Brasil,secondary,78.669,"LINESTRING (-70.66507900000001 -33.4320566, -70.66503659999999 -33.4327632)",3,,,
307081826,4401437029,0,92360510,,True,Avenida Brasil,secondary,4.119,"LINESTRING (-70.664402 -33.43761, -70.66440420000001 -33.437647)",2,,,
369945456,6097113277,0,448544761,,True,Rosas,residential,83.191,"LINESTRING (-70.66133929999999 -33.4360014, -70.66223189999999 -33.4360714)",,,,
369952995,4400238518,0,447770575,,True,Santa Isabel,secondary,4.053,"LINESTRING (-70.6578895 -33.452402, -70.6579327 -33.4523966)",,,,
369952997,3456753063,0,32840233,,True,,secondary,9.174,"LINESTRING (-70.6590508 -33.4525734, -70.6591462 -33.4525951)",2,,,
369953000,3072405692,0,32840233,,True,,secondary,4.842,"LINESTRING (-70.65963189999999 -33.4525171, -70.6596673 -33.4524851)",2,,,
373499067,386348,0,448373171,,True,Teatinos,secondary,126.4,"LINESTRING (-70.6556913 -33.4366845, -70.65552460000001 -33.4378127)",2,,,
373503936,4448209084,0,92361438,,True,Curicó,primary,41.821,"LINESTRING (-70.6447012 -33.4461923, -70.6451457 -33.4462547)",4,,,
439269258,5935351772,0,92361438,,True,Curicó,primary,116.078,"LINESTRING (-70.63435459999999 -33.4436064, -70.6354947 -33.4440362)",4,,,
501542453,4399676344,0,483731558,,True,,secondary,3.289,"LINESTRING (-70.6599348 -33.4518594, -70.6599659 -33.4518452)",2,,,
605145713,4401399863,0,223877454,,True,General Bulnes,tertiary,22.906,"LINESTRING (-70.6713482 -33.4319216, -70.6713779 -33.4317171)",2,,,
605145766,264246712,0,144917235,,True,Mapocho,secondary,36.466,"LINESTRING (-70.6680453 -33.4321034, -70.66765239999999 -33.4320974)",2,,,
605145768,612756415,0,671178316,,True,Mapocho,secondary,44.464,"LINESTRING (-70.66691179999999 -33.4320848, -70.666433 -33.4320695)",2,,,
605145774,254346802,0,238513527,,True,Martínez de Rozas,tertiary,67.548,"LINESTRING (-70.6667621 -33.4336543, -70.6674878 -33.4337018)",2,,,
605145812,6992482252,0,223877454,,True,General Bulnes,tertiary,22.452,"LINESTRING (-70.6715411 -33.4306414, -70.6715628 -33.4304403)",2,,,
605145816,605145812,0,223877454,,True,General Bulnes,tertiary,76.383,"LINESTRING (-70.671435 -33.4313226, -70.6715411 -33.4306414)",2,,,
605145831,3279679700,0,223877454,,True,General Bulnes,tertiary,74.309,"LINESTRING (-70.67172170000001 -33.4291109, -70.67178319999999 -33.4284446)",2,,,
