u,v,key,osmid,bridge,oneway,name,highway,length,geometry,lanes,maxspeed,access,width,junction,tunnel,ref
4179252946,6307332706,0,417368694,,False,Las Amapolas,residential,56.088,"LINESTRING (-70.6673832 -33.4718861, -70.6673869 -33.4723905)",,,,,,,
4179252946,3892806937,0,626772853,,False,San Dionisio,residential,68.491,"LINESTRING (-70.6673832 -33.4718861, -70.66664489999999 -33.4718755)",,,,,,,
4179252946,370189701,0,626772853,,False,San Dionisio,residential,45.265,"LINESTRING (-70.6673832 -33.4718861, -70.66787119999999 -33.4718889)",,,,,,,
4179252947,1609778079,0,47529911,,False,Los Retamos,residential,126.628,"LINESTRING (-70.6689203 -33.4757985, -70.6689513 -33.47466)",,,,,,,
4179252947,370189631,0,321331579,,False,Centenario,residential,35.53,"LINESTRING (-70.6689203 -33.4757985, -70.6685373 -33.4757921)",2,,,,,,
4179252947,370189538,0,321331579,,False,Centenario,residential,37.08,"LINESTRING (-70.6689203 -33.4757985, -70.66932 -33.4758052)",2,,,,,,
4210705584,4210705585,0,421290863,,False,Doctor Sótero del Río,residential,57.864,"LINESTRING (-70.6548305 -33.4377414, -70.654765 -33.4382589)",,,,,,,
4210705584,386348,0,679129710,,True,Catedral,secondary,64.892,"LINESTRING (-70.6548305 -33.4377414, -70.65552460000001 -33.4378127)",2,,,,,,
4210705585,4210705584,0,421290863,,False,Doctor Sótero del Río,residential,57.864,"LINESTRING (-70.654765 -33.4382589, -70.6548305 -33.4377414)",,,,,,,
4381029627,436064354,0,447597468,,True,Avenida Libertador Bernardo O'Higgins,primary,13.036,"LINESTRING (-70.63695749999999 -33.4378378, -70.6368342 -33.4377816)",4,,,,,,
4381029634,6215412774,0,447597468,,True,Avenida Libertador Bernardo O'Higgins,primary,12.416,"LINESTRING (-70.6376279 -33.438234, -70.63752270000001 -33.438165)",4,,,,,,
4381029659,4393650035,0,8001098,,False,Carabineros de Chile,residential,24.687,"LINESTRING (-70.6377461 -33.4395215, -70.6379525 -33.4396616)",,,,,,,
4381029659,6015747645,0,8001098,,False,Carabineros de Chile,residential,5.197,"LINESTRING (-70.6377461 -33.4395215, -70.6377044 -33.4394903)",,,,,,,
4381029660,4393650042,0,297475576,,True,Jaime Eyzaguirre,residential,2.003,"LINESTRING (-70.63919660000001 -33.4397536, -70.63918049999999 -33.4397656)",,,,,,,
4381029661,256040807,0,215936723,,True,Avenida Libertador Bernardo O'Higgins,primary,49.065,"LINESTRING (-70.6398329 -33.439798, -70.639433 -33.4395093)",4,,,,,,
4388032976,141061393,0,447749549,,True,José Miguel Carrera,residential,57.192,"LINESTRING (-70.6636501 -33.4477092, -70.6637976 -33.4472098)",3,,,,,,
4388032977,4388032976,0,447749549,,True,José Miguel Carrera,residential,9.755,"LINESTRING (-70.66362100000001 -33.4477935, -70.6636501 -33.4477092)",3,,,,,,
4388066871,3587951518,0,24446049,,True,Cienfuegos,residential,32.592,"LINESTRING (-70.6627718 -33.4456763, -70.6628345 -33.4453879)",2,,,,,,
4388066879,1999040951,0,208499130,,True,Manuel Rodríguez Sur,primary,28.953,"LINESTRING (-70.6605623 -33.4473857, -70.6605028 -33.4476413)",3,,,,,,
4388066880,2613446591,0,441044892,,True,Manuel Rodríguez Sur,primary,23.258,"LINESTRING (-70.6571355 -33.4594036, -70.6571608 -33.4596117)",,60,,,,,
4388148074,2045687708,0,299493690,,True,Guardiamarina Ernesto Riquelme,residential,3.873,"LINESTRING (-70.6623776 -33.4311948, -70.662417 -33.4311833)",1,,,,,,
4388148075,4388148074,0,299493690,,True,Guardiamarina Ernesto Riquelme,residential,4.132,"LINESTRING (-70.6623367 -33.4312095, -70.6623776 -33.4311948)",1,,,,,,
4388148076,4388148075,0,299493690,,True,Guardiamarina Ernesto Riquelme,residential,2.782,"LINESTRING (-70.6623128 -33.4312246, -70.6623367 -33.4312095)",1,,,,,,
4388148077,4388148076,0,299493690,,True,Guardiamarina Ernesto Riquelme,residential,3.857,"LINESTRING (-70.6622867 -33.4312516, -70.6623128 -33.4312246)",1,,,,,,
4388148078,4388148077,0,299493690,,True,Guardiamarina Ernesto Riquelme,residential,3.969,"LINESTRING (-70.6622713 -33.4312849, -70.6622867 -33.4312516)",1,,,,,,
4388148079,227925611,0,300591524,,True,,motorway_link,4.643,"LINESTRING (-70.6621079 -33.4320524, -70.662121 -33.4320927)",,,,,,,
4388148080,3034809456,0,299493690,,True,Guardiamarina Ernesto Riquelme,residential,4.148,"LINESTRING (-70.6621676 -33.4319671, -70.662167 -33.4319298)",1,,,,,,
4388148081,4388148080,0,299493690,,True,Guardiamarina Ernesto Riquelme,residential,3.091,"LINESTRING (-70.662175 -33.4319942, -70.6621676 -33.4319671)",1,,,,,,
4388148082,4388148081,0,299493690,,True,Guardiamarina Ernesto Riquelme,residential,2.472,"LINESTRING (-70.6621878 -33.4320137, -70.662175 -33.4319942)",1,,,,,,
4388148083,4388148082,0,299493690,,True,Guardiamarina Ernesto Riquelme,residential,2.758,"LINESTRING (-70.66220800000001 -33.4320319, -70.6621878 -33.4320137)",1,,,,,,
