u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,lanes,junction,width,bridge,access,tunnel,ref,service,area
257686887,683061165,0,530060026,Rue Fernand Widal,residential,30,True,6.676,"LINESTRING (2.3610162 48.8190768, 2.3609858 48.8190202)",,,,,,,,,
257712586,15378859,0,"[752044043, 752044044, 123487806]",Avenue de Saint-Mandé,tertiary,,False,485.24899999999997,"LINESTRING (2.3953815 48.8455474, 2.3955149 48.8455372, 2.3957226 48.8455185, 2.3959605 48.8454971, 2.3979853 48.8453261, 2.3980812 48.8453185, 2.3982497 48.8453024, 2.3987593 48.8452621, 2.3991248 48.8452316, 2.4000455 48.8451533, 2.4010082 48.8450715, 2.4016648 48.8450157, 2.4018113 48.8450017, 2.4019578 48.8449876)",,,,,,,,,
258075599,258050547,0,43184566,,cycleway,,False,7.014,"LINESTRING (2.3799292 48.88791, 2.3798336 48.8879048)",,,,,,,,,
258075599,621297501,0,"[218735648, 336784988]",Rue de Crimée,residential,,True,270.793,"LINESTRING (2.3799292 48.88791, 2.3803109 48.8875649, 2.380783 48.8871593, 2.3811884 48.8868119, 2.3813656 48.8866618, 2.3820987 48.8860192, 2.3821616 48.885967)",,,,,,,,,
258075599,258050545,0,218735651,Rue de Crimée,cycleway,,True,39.703,"LINESTRING (2.3799292 48.88791, 2.379942 48.8879546, 2.3797068 48.8881575, 2.3796279 48.88818)",,,,,,,,,
268233209,320153318,0,"[332072964, 320826375]",Avenue de la Porte de Clignancourt,primary,50,False,113.74600000000001,"LINESTRING (2.3441363 48.8993276, 2.3441318 48.8994275, 2.3441317 48.8994664, 2.3441308 48.8995644, 2.3441335 48.899858, 2.34413 48.9003505)",,,,,,,,,
268233209,5793558745,0,"[648742050, 11833469]",Avenue de la Porte de Clignancourt,primary,30,False,87.678,"LINESTRING (2.3441363 48.8993276, 2.3441426 48.8992517, 2.344158 48.8989647, 2.344198 48.8985402)",,,,,,,,,
268233762,268233209,0,"[648603482, 25474131, 24595870]",Rue René Binet,residential,,True,361.473,"LINESTRING (2.3391944 48.8992205, 2.3393328 48.8992214, 2.3400039 48.8992256, 2.3401472 48.8992285, 2.34031 48.8992312, 2.3406576 48.8992403, 2.3407877 48.899243, 2.3408826 48.899246, 2.3421982 48.8992717, 2.3423571 48.8992748, 2.3424911 48.899276, 2.3438375 48.8993163, 2.343922 48.8993201, 2.3441363 48.8993276)",,,,,,,,,
277520265,27234851,0,"[138276755, 748659381]",Boulevard de Courcelles,primary,50,False,46.533,"LINESTRING (2.314926 48.881133, 2.3151315 48.8811606, 2.3152002 48.8811698, 2.3153333 48.8811877, 2.3155495 48.8812167)",4,,,,,,,,
277520265,277520264,0,25468327,,service,,True,164.72,"LINESTRING (2.314926 48.881133, 2.314626 48.8812173, 2.3129502 48.8810173, 2.3128432 48.8808885)",,,,,,,,,
287541859,246144547,0,"[664092568, 294799032]",Boulevard Arago,secondary,30,False,159.899,"LINESTRING (2.3463442 48.8350428, 2.3465798 48.8351121, 2.3466493 48.8351344, 2.3475117 48.8354109, 2.347756 48.8354901, 2.3479708 48.8355527, 2.3480346 48.8355722, 2.3481676 48.8356113, 2.3483187 48.8356578)",,,,,,,,,
327203983,268673031,0,"[76607824, 29705165, 24719927]","['Rue des Frères Flavien', 'Rue Léon Frapié']","['cycleway', 'tertiary']",,False,728.928,"LINESTRING (2.4107353 48.8783723, 2.4107914 48.8783023, 2.4109915 48.8780526, 2.4115272 48.8773839, 2.4117519 48.8771035, 2.4118341 48.8769908, 2.4119691 48.8768057, 2.4121575 48.8767081, 2.4124033 48.8764031, 2.4124919 48.8761238, 2.4125082 48.8760702, 2.4125412 48.8759617, 2.412698 48.8754462, 2.4127555 48.8752572, 2.4127753 48.8751922, 2.4128201 48.8750383, 2.4130678 48.8741834, 2.4130745 48.8741637, 2.4130448 48.874089, 2.4129407 48.8740348, 2.4122333 48.8738477, 2.411307 48.8736017, 2.4104369 48.8733718, 2.4103604 48.8733296)",,,,,,,,,
343694131,6954185947,0,"[742870515, 742870516]",Rue de la Poterne des Peupliers,secondary,50,False,64.552,"LINESTRING (2.3533099 48.8192738, 2.3532766 48.8193807, 2.3532251 48.8195142, 2.353163 48.8196367, 2.3530564 48.8198288)",,,,,,,,,
346359747,94225415,0,77483303,Rue Lepic,residential,30,True,89.57499999999999,"LINESTRING (2.3342179 48.8875293, 2.3343172 48.8876346, 2.3343879 48.8876682, 2.3345108 48.8877041, 2.3345855 48.8877125, 2.3346611 48.8877101, 2.3347681 48.8876912, 2.3352648 48.8875318)",,,,,,,,,
369326446,7679407161,0,542064424,Rue de la Chaussée d'Antin,secondary,30,True,363.051,"LINESTRING (2.3318586 48.876253, 2.3318891 48.8761833, 2.3319272 48.8760961, 2.3322662 48.8753242, 2.3322934 48.8752609, 2.3323169 48.8752035, 2.3325401 48.8746939, 2.332582 48.874598, 2.3326507 48.8744407, 2.3326912 48.8743481, 2.3327119 48.8742988, 2.3327354 48.8742469, 2.3331807 48.8732282, 2.3332301 48.8731151)",,,,,,,,,
