u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,access,lanes,service,tunnel,width
20908236,20908217,0,3991383,False,Frihedsvej,residential,30,44.981,"LINESTRING (12.5128002 55.6769671, 12.5121008 55.6770572)",,,,,
20919928,20919929,0,168907410,False,Drosselvej,residential,30,36.958,"LINESTRING (12.5264196 55.6924184, 12.5266916 55.6927133)",,,,,
20919928,1657234070,0,168907410,False,Drosselvej,residential,30,76.453,"LINESTRING (12.5264196 55.6924184, 12.5258348 55.691815)",,,,,
20919929,20919928,0,168907410,False,Drosselvej,residential,30,36.958,"LINESTRING (12.5266916 55.6927133, 12.5264196 55.6924184)",,,,,
20919939,8078413,0,38910496,False,Kristian Zahrtmanns Plads,residential,30,11.04,"LINESTRING (12.5276643 55.6922408, 12.5278222 55.6921968)",,,,,
20925427,1350019916,0,3993318,False,Sibeliusgade,service,30,7.513,"LINESTRING (12.5683041 55.7164809, 12.5684211 55.716466)",,,,,
20925427,430334271,0,3993318,False,Sibeliusgade,service,30,6.861,"LINESTRING (12.5683041 55.7164809, 12.568195 55.7164754)",,,,,
20925428,2338323229,0,3993318,False,Sibeliusgade,service,30,37.088,"LINESTRING (12.5669226 55.7162458, 12.5674855 55.7163493)",,,,,
20930736,20930962,0,3993823,False,Søndre Allé,residential,30,15.718,"LINESTRING (12.4997625 55.6677692, 12.4996662 55.6676387)",,,,,
20930960,4392044795,0,3993823,False,Søndre Allé,residential,30,39.976,"LINESTRING (12.4967049 55.6664959, 12.4961476 55.6663214)",,,,,
20930960,4392044797,0,3993823,False,Søndre Allé,residential,30,40.722,"LINESTRING (12.4967049 55.6664959, 12.4972554 55.6666901)",,,,,
20930961,4392044801,0,3993823,False,Søndre Allé,residential,30,23.038,"LINESTRING (12.4987987 55.6672811, 12.4985079 55.6671545)",,,,,
20930961,4392044802,0,3993823,False,Søndre Allé,residential,30,17.802,"LINESTRING (12.4987987 55.6672811, 12.4990337 55.6673709)",,,,,
20930962,4392044802,0,3993823,False,Søndre Allé,residential,30,49.6,"LINESTRING (12.4996662 55.6676387, 12.4990337 55.6673709)",,,,,
20930962,20930736,0,3993823,False,Søndre Allé,residential,30,15.718,"LINESTRING (12.4996662 55.6676387, 12.4997625 55.6677692)",,,,,
20930963,20930965,0,3993823,False,Søndre Allé,residential,30,95.211,"LINESTRING (12.4957794 55.6662139, 12.4944099 55.6658444)",,,,,
20930963,4392044795,0,3993823,False,Søndre Allé,residential,30,26.002,"LINESTRING (12.4957794 55.6662139, 12.4961476 55.6663214)",,,,,
