u,v,key,osmid,oneway,lanes,highway,maxspeed,length,geometry,name,access,bridge,est_width,junction,service,width,tunnel
28848540,4729401781,0,4868913,True,,residential,30,31.298,"LINESTRING (9.1998426 45.465137, 9.199461299999999 45.4652248)",Via Anselmo Ronchetti,,,,,,,
28848547,4353252196,0,4868911,True,,residential,30,41.446,"LINESTRING (9.1987963 45.464268, 9.198487800000001 45.4639645)",Via Cerva,,,,,,,
29089548,1492499656,0,26014058,True,,unclassified,30,5.137,"LINESTRING (9.2323804 45.4734039, 9.2323801 45.4733577)",Via Alessandro Visconti D'Aragona,,,,,,,
29137373,1766478204,0,4604973,True,1,living_street,10,5.851,"LINESTRING (9.1697577 45.4610108, 9.1697098 45.4609703)",Piazza Venino,,,,,,,
29137381,1766478192,0,165066407,True,1,living_street,10,4.735,"LINESTRING (9.1693642 45.4606768, 9.1693712 45.4606345)",Via Numa Pompilio,,,,,,,
29137383,1766478161,0,165066406,True,1,residential,10,6.179,"LINESTRING (9.1694814 45.4597433, 9.169489199999999 45.459688)",Via Numa Pompilio,,,,,,,
29137383,1766478171,0,165066409,True,1,residential,10,10.679,"LINESTRING (9.1694814 45.4597433, 9.169617499999999 45.4597538)",Via Tullo Ostilio,,,,,,,
29137386,2696090781,0,4604975,True,,residential,10,14.124,"LINESTRING (9.1689577 45.4596409, 9.168926300000001 45.459766)",Via Pietro Azario,no,,,,,,
29137386,738953327,0,4604979,True,1,residential,10,18.12,"LINESTRING (9.1689577 45.4596409, 9.1691536 45.4597285)",Via Tullo Ostilio,,,,,,,
29137388,3469717432,0,277217683,False,,tertiary,30,9.219,"LINESTRING (9.165804899999999 45.4594934, 9.1657188 45.4595502)",Viale Coni Zugna,,,,,,,
29137388,3469717441,0,277218688,False,,tertiary,30,10.66,"LINESTRING (9.165804899999999 45.4594934, 9.1659028 45.4594265)",Viale Coni Zugna,,,,,,,
29137411,1531519734,0,186120829,True,,residential,30,3.768,"LINESTRING (9.173249200000001 45.4643027, 9.1732937 45.4642895)",Via Giacomo Mellerio,,,,,,,
29137451,1127835665,0,173174615,True,,pedestrian,30,148.112,"LINESTRING (9.176849600000001 45.4475685, 9.1771546 45.4488832)",Alzaia Naviglio Pavese,no,,,,,,
29137458,3610671637,0,54054561,False,,residential,30,6.415,"LINESTRING (9.175212200000001 45.4489025, 9.175216799999999 45.4489601)",Via Mario Pichi,,,,,,,
29137458,1494695335,0,277516087,True,,residential,30,5.445,"LINESTRING (9.175212200000001 45.4489025, 9.1751424 45.4489029)",Via Emilio Gola,,,,,,,
29749451,303023659,0,289349818,True,,residential,30,4.304,"LINESTRING (9.192371899999999 45.4552793, 9.1924171 45.4552571)",Piazza Cardinale Andrea Ferrari,,,,roundabout,,,
29749452,562679461,0,289349816,True,,residential,30,4.53,"LINESTRING (9.192299200000001 45.4553896, 9.1923086 45.4553494)",Piazza Cardinale Andrea Ferrari,,,,roundabout,,,
29749456,2917668194,0,24492702,False,,residential,30,13.804,"LINESTRING (9.1927407 45.455385, 9.192904499999999 45.455432)",Via Paolo Marchiondi,,,,,,,
29749456,2902727099,0,289349814,True,,residential,30,4.437,"LINESTRING (9.1927407 45.455385, 9.192736699999999 45.4554248)",Piazza Cardinale Andrea Ferrari,,,,roundabout,,,
29749457,2917668133,0,289349815,True,,residential,30,4.329,"LINESTRING (9.1927051 45.4553095, 9.192729399999999 45.4553445)",Piazza Cardinale Andrea Ferrari,,,,roundabout,,,
29749458,570105505,0,289349818,True,,residential,30,4.614,"LINESTRING (9.192614000000001 45.4552539, 9.192663700000001 45.4552764)",Piazza Cardinale Andrea Ferrari,,,,roundabout,,,
29797331,1492499677,0,23193551,True,,unclassified,30,6.061,"LINESTRING (9.2323872 45.4735669, 9.232386099999999 45.4736214)",Via Pellegrino Strobel,,,,,,,
29797334,1485040801,0,264210426,True,,residential,30,10.609,"LINESTRING (9.2239913 45.4725983, 9.2239898 45.4726937)",Largo Rio de Janeiro,,,,,,,
31107189,998207278,0,85357211,False,,tertiary,30,141.742,"LINESTRING (9.162171600000001 45.4489917, 9.1604273 45.4486347)",Ripa di Porta Ticinese,,,,,,,
31107189,955680123,0,142655185,False,,tertiary,30,57.201,"LINESTRING (9.162171600000001 45.4489917, 9.1628753 45.4491363)",Ripa di Porta Ticinese,,,,,,,
31107192,4891272621,0,85357211,False,,tertiary,30,7.42,"LINESTRING (9.160218199999999 45.4485906, 9.1603093 45.4486098)",Ripa di Porta Ticinese,,,,,,,
31107192,4891272622,0,183451617,False,,tertiary,30,129.225,"LINESTRING (9.160218199999999 45.4485906, 9.1586283 45.4482643)",Ripa di Porta Ticinese,,,,,,,
31333462,6522167641,0,10753056,True,1,residential,30,7.556,"LINESTRING (9.1560571 45.4827179, 9.1561538 45.4827225)",Via Leon Battista Alberti,,,,,,,
31333699,2923169121,0,168553874,True,1,residential,30,10.163,"LINESTRING (9.1745184 45.4617967, 9.1745546 45.4617089)",Via Lanzone,,,,,,,
31333700,3399748303,0,168553874,True,1,residential,30,11.856,"LINESTRING (9.1748441 45.4613858, 9.1749534 45.4613117)",Via Lanzone,,,,,,,
31333701,2727943437,0,168553874,True,1,residential,30,4.374,"LINESTRING (9.1754611 45.4610736, 9.175510900000001 45.4610555)",Via Lanzone,,,,,,,
31333702,31333703,0,168553873,True,1,residential,30,46.003,"LINESTRING (9.176378 45.4608202, 9.176927600000001 45.46067)",Via Lanzone,,,,,,,
31333703,1530239538,0,168553873,True,1,residential,30,28.991,"LINESTRING (9.176927600000001 45.46067, 9.177277200000001 45.4605814)",Via Lanzone,,,,,,,
31333704,6544327253,0,168553873,True,1,residential,30,11.182,"LINESTRING (9.1774387 45.4605324, 9.1775626 45.4604818)",Via Lanzone,,,,,,,
31333707,2820206988,0,4892135,True,,pedestrian,30,156.818,"LINESTRING (9.171200799999999 45.4511216, 9.170047800000001 45.4522769)",Via Casale,no,,,,,,
31333710,343143390,0,30895499,True,,pedestrian,30,124.067,"LINESTRING (9.173713299999999 45.4516528, 9.1721877 45.4513373)",Alzaia Naviglio Grande,no,,,,,,
31333883,2000044271,0,276479950,True,,residential,30,80.01,"LINESTRING (9.203663000000001 45.462832, 9.203651799999999 45.4635515)",Via Manlio e Gioacchino Savaré,,,,,,,
31367301,761290035,0,4860774,True,,motorway_link,30,43.784,"LINESTRING (9.0773721 45.4552852, 9.077539700000001 45.455661)",,,,,,,,
31367303,31367304,0,45271674,True,,motorway_link,30,45.08,"LINESTRING (9.077700399999999 45.4560335, 9.0778771 45.4564195)",,,,,,,,
31367304,31367305,0,45271674,True,,motorway_link,30,43.154,"LINESTRING (9.0778771 45.4564195, 9.078083400000001 45.4567796)",,,,,,,,
31508872,1596494725,0,4877686,False,,residential,30,5.085,"LINESTRING (9.183918 45.4721072, 9.1839081 45.4721524)",Corso Giuseppe Garibaldi,private,,,,,,
31508936,877763084,0,272536091,True,,residential,30,21.206,"LINESTRING (9.183519499999999 45.4740014, 9.183510399999999 45.474192)",Corso Giuseppe Garibaldi,private,,,,,,
31508937,877763087,0,272536091,True,,residential,30,33.28,"LINESTRING (9.183502600000001 45.4746136, 9.1834921 45.4749128)",Corso Giuseppe Garibaldi,private,,,,,,
31508938,139268615,0,272536091,True,,residential,30,34.769,"LINESTRING (9.1835798 45.4752331, 9.183697499999999 45.4755347)",Corso Giuseppe Garibaldi,private,,,,,,
31508941,31489452,0,238083098,True,,residential,30,9.728,"LINESTRING (9.184505 45.4776584, 9.1845473 45.4777407)",Corso Giuseppe Garibaldi,private,,,,,,
31509027,3799691432,0,23330696,True,,residential,30,38.89,"LINESTRING (9.1850878 45.4783018, 9.184606799999999 45.4783944)",Largo La Foppa,,,,,,,
31509028,31509027,0,200672088,True,,unclassified,30,153.915,"LINESTRING (9.186079400000001 45.4794987, 9.1850878 45.4783018)",Corso Giuseppe Garibaldi,private,,,,,,
