u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,bridge,width,access,tunnel,junction,lanes,est_width,service,ref,area,landuse
1976785464,1324794260,0,244158128,,cycleway,,True,5.699,"LINESTRING (4.8767773 52.3468186, 4.87673 52.3467958, 4.8767122 52.3467863)",,3.00,,,,,,,,,
1976839523,3407343793,0,333612421,Beethovenstraat,cycleway,,True,20.721,"LINESTRING (4.8770869 52.3482746, 4.8771085 52.3482857, 4.8771907 52.3483079, 4.8772374 52.3483603, 4.8772906 52.3484041)",,3,,,,,,,,,
1976839581,1325108375,0,117664986,Joh.M. Coenenstraat,cycleway,,True,49.382999999999996,"LINESTRING (4.8792265 52.3513469, 4.8793466 52.3513704, 4.8794375 52.3514371, 4.8796022 52.3515145, 4.8798162 52.3515947)",,2.00,,,,,,,,,
1976839588,1325108375,0,159142398,Joh.M. Coenenstraat,cycleway,,False,11.530000000000001,"LINESTRING (4.8797739 52.3516951, 4.8797978 52.3516422, 4.8798162 52.3515947)",,2.00,,,,,,,,,
1976839592,4140918077,0,412748966,Harmoniehof,cycleway,,False,10.116,"LINESTRING (4.8806429 52.352059, 4.8805628 52.3521357)",,,,,,,,,,,
1976839613,1976839620,0,186934802,,cycleway,,False,13.149999999999999,"LINESTRING (4.8855529 52.3543976, 4.8855397 52.3544224, 4.885518 52.3544679, 4.8855087 52.3544887, 4.8854956 52.3545105)",,,,,,,,,,,
1976839620,1976839613,0,186934802,,cycleway,,False,13.15,"LINESTRING (4.8854956 52.3545105, 4.8855087 52.3544887, 4.885518 52.3544679, 4.8855397 52.3544224, 4.8855529 52.3543976)",,,,,,,,,,,
1976839690,1342102763,0,"[770417826, 268648835, 770417839]",,cycleway,,True,83.69899999999998,"LINESTRING (4.8910058 52.3581386, 4.891032 52.3582008, 4.8910331 52.3582207, 4.8910354 52.358261, 4.8910473 52.3584733, 4.8910695 52.3587327, 4.8910786 52.3587679, 4.8911019 52.3588089, 4.8911772 52.3588707)",yes,1.50,,,,,,,,,
1976839690,1342102767,0,613138431,,cycleway,,True,25.445,"LINESTRING (4.8910058 52.3581386, 4.8909525 52.3581457, 4.8908745 52.3581555, 4.8908533 52.3581585, 4.890835 52.358161, 4.8907346 52.3581725, 4.8906389 52.3581849)",,,,,,,,,,,
1978342101,3669271216,0,118576813,Postjesweg,cycleway,,True,53.574,"LINESTRING (4.8533905 52.3641426, 4.8535406 52.3641642, 4.8541754 52.3641657)",,1.80,,,,,,,,,
1978342101,1367613870,0,190008152,Hoofdweg,cycleway,,True,28.304000000000002,"LINESTRING (4.8533905 52.3641426, 4.8534036 52.3641715, 4.8534172 52.3642015, 4.8534187 52.3642481, 4.8534198 52.364254, 4.8534199 52.3642595, 4.8534207 52.3642722, 4.8534136 52.3643355, 4.8533793 52.3643909)",,1.90,,,,,,,,,
1978350904,6932289115,0,740433724,Willemsparkweg,cycleway,,True,1.66,"LINESTRING (4.8702772 52.3559031, 4.8702952 52.355893)",,,,,,,,,,,
1979408143,46318711,0,187196054,,cycleway,,False,7.047,"LINESTRING (4.8243704 52.3561115, 4.8243607 52.3561746)",,2.30,,,,,,,,,
