u,v,key,osmid,oneway,name,highway,length,geometry,bridge,tunnel,service,maxspeed,lanes,ref
4897863923,4897863924,0,498339341,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,84.496,"LINESTRING (101.5382142 3.0696232, 101.5389216 3.0699033)",,,,,,
4897863924,4897863925,0,498339340,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,36.167,"LINESTRING (101.5389216 3.0699033, 101.5392184 3.0700373)",,yes,,,,
4897863925,4897863926,0,498339339,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,48.487,"LINESTRING (101.5392184 3.0700373, 101.5396005 3.0702484)",,,,,,
4897863926,4897863927,0,498339339,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,16.368,"LINESTRING (101.5396005 3.0702484, 101.5397347 3.0703093)",,,,,,
4897863927,4897863928,0,498339339,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,20.552,"LINESTRING (101.5397347 3.0703093, 101.5399176 3.0703377)",,,,,,
4897863928,4897863929,0,498339339,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,25.837,"LINESTRING (101.5399176 3.0703377, 101.5401494 3.0703174)",,,,,,
4897863929,4897863930,0,498339339,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,37.012,"LINESTRING (101.5401494 3.0703174, 101.5404746 3.0702443)",,,,,,
4897863930,4897863931,0,498339339,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,14.446,"LINESTRING (101.5404746 3.0702443, 101.5406047 3.0702443)",,,,,,
4897863931,4897863932,0,498339339,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,26.491,"LINESTRING (101.5406047 3.0702443, 101.5408364 3.0703011)",,,,,,
4897863932,4897863944,0,498339339,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,24.914,"LINESTRING (101.5408364 3.0703011, 101.5410484 3.0703745)",,,,,,
4897863933,4897863934,0,498339339,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,73.181,"LINESTRING (101.5416048 3.070567, 101.5422146 3.0708167)",,,,,,
4897863934,4897863935,0,498339339,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,77.505,"LINESTRING (101.5422146 3.0708167, 101.542859 3.0710846)",,,,,,
4897863935,4897863936,0,498339339,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,48.037,"LINESTRING (101.542859 3.0710846, 101.5432615 3.071243)",,,,,,
4897863936,4897863937,0,498339339,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,38.541,"LINESTRING (101.5432615 3.071243, 101.5435887 3.0713587)",,,,,,
4897863937,4897863938,0,498339339,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,220.348,"LINESTRING (101.5435887 3.0713587, 101.5454141 3.0721361)",,,,,,
4897863938,4897863939,0,498339339,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,169.959,"LINESTRING (101.5454141 3.0721361, 101.5468127 3.0727572)",,,,,,
4897863939,4897863940,0,498339339,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,58.205,"LINESTRING (101.5468127 3.0727572, 101.5472878 3.0729784)",,,,,,
4897863940,4897863941,0,498339339,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,24.935,"LINESTRING (101.5472878 3.0729784, 101.5474963 3.0730617)",,,,,,
4897863941,4897863942,0,498339339,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,72.611,"LINESTRING (101.5474963 3.0730617, 101.5481134 3.0732778)",,,,,,
4897863943,4897863944,0,498339338,True,,cycleway,18.425,"LINESTRING (101.5409308 3.0702576, 101.5410484 3.0703745)",,,,,,
