u,v,key,osmid,highway,oneway,length,geometry,name
1772198760,1772198764,0,165675360,footway,False,47.118,"LINESTRING (106.8674712 47.8890336, 106.8680599 47.8891876)",
1772198764,1772198760,0,165675360,footway,False,47.118,"LINESTRING (106.8680599 47.8891876, 106.8674712 47.8890336)",
1772198764,1772198775,0,165675360,footway,False,65.868,"LINESTRING (106.8680599 47.8891876, 106.8688817 47.8894049)",
1772198766,1772198770,0,165675360,footway,False,135.069,"LINESTRING (106.896567 47.8892826, 106.8947576 47.8893406)",
1772198766,1772198767,0,165675360,footway,False,65.693,"LINESTRING (106.896567 47.8892826, 106.897448 47.8892882)",
1772198767,1772198766,0,165675360,footway,False,65.693,"LINESTRING (106.897448 47.8892882, 106.896567 47.8892826)",
1772198767,1772198769,0,165675360,footway,False,56.367,"LINESTRING (106.897448 47.8892882, 106.8982037 47.8893015)",
1772198769,1772198767,0,165675360,footway,False,56.367,"LINESTRING (106.8982037 47.8893015, 106.897448 47.8892882)",
1772198769,1772198773,0,165675360,footway,False,95.982,"LINESTRING (106.8982037 47.8893015, 106.8994863 47.8893748)",
1772198770,1772198772,0,165675360,footway,False,56.921,"LINESTRING (106.8947576 47.8893406, 106.8940005 47.8894062)",
1772198770,1772198766,0,165675360,footway,False,135.069,"LINESTRING (106.8947576 47.8893406, 106.896567 47.8892826)",
1772198772,1772198779,0,165675360,footway,False,113.999,"LINESTRING (106.8940005 47.8894062, 106.8924942 47.8895818)",
1772198772,1772198770,0,165675360,footway,False,56.921,"LINESTRING (106.8940005 47.8894062, 106.8947576 47.8893406)",
1772198773,1772198769,0,165675360,footway,False,95.982,"LINESTRING (106.8994863 47.8893748, 106.8982037 47.8893015)",
1772198773,1772198776,0,165675360,footway,False,60.432,"LINESTRING (106.8994863 47.8893748, 106.9002886 47.8894518)",
1772198775,1772198764,0,165675360,footway,False,65.868,"LINESTRING (106.8688817 47.8894049, 106.8680599 47.8891876)",
1772198775,1772198780,0,165675360,footway,False,54.061,"LINESTRING (106.8688817 47.8894049, 106.8695637 47.8895699)",
1772198776,1772198773,0,165675360,footway,False,60.432,"LINESTRING (106.9002886 47.8894518, 106.8994863 47.8893748)",
1772198776,1772198785,0,165675360,footway,False,175.053,"LINESTRING (106.9002886 47.8894518, 106.9025892 47.8897656)",
1772198776,7622160534,0,808241004,footway,False,29.454,"LINESTRING (106.9002886 47.8894518, 106.9002295 47.8897137)",
1772198779,1772198782,0,165675360,footway,False,46.302,"LINESTRING (106.8924942 47.8895818, 106.891894 47.8896886)",
1772198779,1772198772,0,165675360,footway,False,113.999,"LINESTRING (106.8924942 47.8895818, 106.8940005 47.8894062)",
1772198780,1772198775,0,165675360,footway,False,54.061,"LINESTRING (106.8695637 47.8895699, 106.8688817 47.8894049)",
1772198780,1772198783,0,165675360,footway,False,54.888,"LINESTRING (106.8695637 47.8895699, 106.8702668 47.8897161)",
1772198782,5566433332,0,165675360,footway,False,61.693,"LINESTRING (106.891894 47.8896886, 106.8910874 47.8898122)",
1772198782,1772198779,0,165675360,footway,False,46.302,"LINESTRING (106.891894 47.8896886, 106.8924942 47.8895818)",
1772198783,1772198780,0,165675360,footway,False,54.888,"LINESTRING (106.8702668 47.8897161, 106.8695637 47.8895699)",
